State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths
Total,13748,1845,457,11446,17/04/2020 18:38:06,TT,313,77,9
Maharashtra,3202,300,194,2708,16/04/2020 21:33:06,MH,0,0,0
Delhi,1640,52,38,1550,16/04/2020 23:23:06,DL,0,0,0
Tamil Nadu,1270,180,15,1075,16/04/2020 21:33:06,TN,0,0,0
Rajasthan,1193,183,17,993,17/04/2020 17:14:06,RJ,62,19,6
Madhya Pradesh,1164,70,55,1039,16/04/2020 21:33:07,MP,0,0,0
Gujarat,1021,74,38,909,17/04/2020 11:43:06,GJ,92,1,2
Uttar Pradesh,846,68,13,765,17/04/2020 18:38:08,UP,41,0,0
Telangana,700,187,18,495,16/04/2020 23:23:07,TG,0,0,0
Andhra Pradesh,572,35,14,523,17/04/2020 11:53:06,AP,38,15,0
Kerala,395,255,2,138,17/04/2020 18:14:06,KL,1,10,0
Karnataka,359,88,13,258,17/04/2020 17:46:06,KA,44,6,0
Jammu and Kashmir,314,38,5,271,17/04/2020 17:25:09,JK,0,0,1
West Bengal,255,51,10,194,17/04/2020 08:43:06,WB,24,9,0
Haryana,222,82,3,137,17/04/2020 17:14:07,HR,7,17,0
Punjab,197,29,14,154,16/04/2020 18:43:07,PB,0,0,0
Bihar,83,37,1,45,16/04/2020 23:13:07,BR,0,0,0
Odisha,60,19,1,40,14/04/2020 18:10:33,OR,0,0,0
Uttarakhand,40,9,0,31,17/04/2020 17:46:07,UT,3,0,0
Chhattisgarh,36,23,0,13,17/04/2020 10:18:07,CT,0,0,0
Himachal Pradesh,35,16,2,17,16/04/2020 18:13:42,HP,0,0,0
Assam,34,5,1,28,16/04/2020 17:08:45,AS,0,0,0
Jharkhand,29,0,2,27,16/04/2020 20:03:07,JH,0,0,0
Chandigarh,21,9,0,12,15/04/2020 17:20:25,CH,0,0,0
Ladakh,18,14,0,4,16/04/2020 15:13:07,LA,0,0,0
Andaman and Nicobar Islands,12,11,0,1,16/04/2020 16:53:07,AN,1,0,0
Meghalaya,9,0,1,8,16/04/2020 23:43:08,ML,0,0,0
Goa,7,6,0,1,15/04/2020 20:10:36,GA,0,0,0
Puducherry,7,1,0,6,10/4/2020 17:50,PY,0,0,0
Manipur,2,1,0,1,6/4/2020 22:35,MN,0,0,0
Tripura,2,1,0,1,10/4/2020 20:00,TR,0,0,0
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0
Nagaland,1,0,0,1,12/4/2020 23:35,NL,0,0,0
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0
